,Unnamed: 0,Description
0,0,job job descriptionsacog seeking motivated data scientist support agency work advance equity strengthen economy environmentally sustainable new data scientist position would part large team data professionals part data mapping services team person would report team manager part larger data analysis group sacog uses regional data tools track forecast region future implement region long term plans evaluate region investments development choices many organizations government agencies throughout region look sacog leader data data scientist valuable contributor reputation data scientist play vital role managing analyzing transportation land use demographic data making understandable audiences elected officials staff local governments transit agencies stakeholders public data scientist work closely project managers across agency use data effectively join sacog dynamic nature work small flexible diverse staff serves voluntary association city county governments provide forum mutual problem solving regional advancement encourage professional development growth well promote job satisfaction personal fulfillment talents fully utilized uniqueness valued team based organizational structure collaborative achievement oriented teams focal point project work team members come range backgrounds bring variety ideas perspectives experiences help contribute innovative collaborative environment committed organizational values professional excellence innovation integrity leadership trust mutual respect accountability teamwork collaboration open communication personal growth value employees generous benefit package includes paid holidays medical retirement calpers dental vision life short term long term disability insurance paid time deferred compensation employees based start date retirement investment programs career development program flexible work benefit athletic gym access diversity sacogsacog values diversity believes range backgrounds brings variety ideas perspectives experiences contribute innovative collaborative environment talents fully utilized uniqueness valued sacog objectives met sacog committed building culturally diverse workplace welcome individuals backgrounds orientations identities addition organizational value also uphold equal opportunity law sacog equal opportunity employer committed compliance applicable laws providing equal employment opportunities sacog provides fair equal opportunity discrimination race creed color religion ancestry national origin gender physical disability mental disability medical condition marital status age sexual orientation consideration made unlawful federal state local laws sacog make reasonable accommodations known physical mental disabilities otherwise qualified individual applicant employee teleworkthis position ability telework least part time certain duties require time office majority duties done remotely employees required live within miles sacramento attend meetings person support telework enhances employees productivity satisfaction ability collaborateimproves recruitment retentionreduces greenhouse gas emissions vehicle miles traveled vmt traffic parking congestion air pollutionsearch schedule filing deadline march pm first round interviews via zoom end march second round interviews may person mid april reference checks end april offer employment maydesired start date mid may june examples typical job functionsduties may include research analysis presentation preparation database management tracking monitoring special projects coordination projects programs organization outside agencies partners essential functionsto perform job successfully individual must able perform essential function develop acquire analyze regionally comprehensive consistent current called c data related transportation land use demographics environmental etc use programming language perform advanced level data extraction transformation data management create maintain data management processes large diverse array datasets allow fast intuitive access data internal purposes external sharing account integrity data ensure data quality identify data limitations provide technical support wide variety data requests wide variety requesters including public non profits consultants particular staff elected officials levels government agencies communicate analyses results technical non technical audiences qualificationsthe ideal candidate desire use data inform decision making analytical team player quick learner possess exceptional technical writing communication skills knowledge skills abilities requirements representative range knowledge skill abilities required extensive experience applying computer languages python r manipulate data draw insights large data sets ability visualize data effective way possible given project study ability communicate complex data simple actionable way attention detail way contributes strong data analysis statistical regional relevance excellent data checking validation skills ability collaborate within diverse team demonstrated skill collaborating professionally internal external stakeholders following required desired knowledge economic development equity principles land use transportation planning knowledge gis applications spatial data analysis knowledge census apis education experienceany combination training experience would provide required knowledge skills abilities qualifying typical way obtain required qualifications would equivalent graduation accredited four year college university major coursework math economics computer science sociology political science public policy statistics closely related field andthree years broad progressively responsible experience related position following training experience required desired master degree higher math economics computer science sociology political science public policy statistics closely related field prior working experience land use transportation equity planning economic development experience analyzing us census bureau data products particularly american community survey acs
1,1,job data scientistremote full timemust located following states al ak ar de fl ga hi ia id ks ky la ms mo mn ne nm nc pa sc sd tn tx ut wv wi wynot considering candidates outside statesclient sponsor k k bonus company growing retail industry organization looking bring data scientist support organization slowly build data leading charge role building developing accurate efficient ai machine learning modelsworking customer data drive strategy across organizationworking collaboratively technical non technical teams support business problems skills experience retail industry experience requiredai machine learning experiencebuilding testing deploying models predictive models regression models etc deep technical data science expertise including experience following python sql data modeling tableau power bi spark pyspark gcpbackground software development plusstrong verbal written communication skillsacute strategic analytical skills salary k k bonus applyplease register interest sending resume stephen johnson via apply link page
2,2,job tdi technologies inc seeking candidates data scientist position position main responsibility gather format analyze information navy hull mechanical electrical hm e systems position require knowledge machine learning methods modeling development training candidates comfortable working within engineering team designing new software solutions interfacing customers principal duties responsibilities develop code test modeling approaches shipboard systems using real simulated shipboard sensor status data control systems incorporate algorithms model designs software solutions pipelines solve customer data analytics challenges prototype demonstrate tdi technologies data science capabilities prospective customers education experience requirements master degree engineering discipline computer engineering electrical engineering mechanical engineering software engineering computer science data science lieu master candidates may possess bachelor science degree engineering discipline along years experience engineering software development data science role special requirements successful applicants must either active government security clearance ability receive approval upon position acceptance must valid us passport ability obtain one upon position acceptance skills abilities essential skills software development python experience machine learning artificial intelligence frameworks scikit learn pandas numpy experience least one following problem types time series classification regression analysis optimization clustering software development operation within linux windows based systems experience using version control tools subversion git strong technical writing skills attention detail documentation willingness convey technical problems solutions variety team members additional preferred skills experience development deployment docker containers experience orchestration using kubernetes experience devops tools practices experience amazon web services aws experience rotating machinery industrial automation controls vibrations analysis travel position may require approximately travel location philadelphia pa position allow remote work also require attendance person meetings philadelphia navy yard offices well government development lab facilities equal employment opportunity policy tdi technologies inc provides equal employment opportunities employees applicants employment prohibits discrimination harassment type policy applies terms conditions employment including recruiting hiring placement promotion termination layout recall transfer leaves absence compensation training apply considered position tdi technologies inc please email resume careers tditek com
3,3,job responsibilities join highly skilled data science team solve challenging problems deliver scalable solutions game development publishing live ops establish scalable efficient automated processes deliver end end data products large scale data analysis machine learning model development validation serving interact cross functionally various teams provide actionable business insights stakeholders research new approaches field applied machine learning qualifications currently enrolled ph program computer science math applied math statistics related quantitative fields economics physics etc experience one following areas machine learning statistics deep learning reinforcement learning nlp computer vision recommendation system related data science domains good knowledge data science methods best practices data analysis data visualization machine learning statistical modeling experienced sql proficient python higher level programming languages passionate gaming gaming industry
4,4,job knowesis looking data scientist ii support united states special operations command preservation force family ussocom potff program identifying implementing innovative valuable solutions across special operations forces sof enterprise aimed improving short long term well sof warriors families work performed client location hurlburt field fl position requires secret clearance requires u citizenship applicants without proof us citizenship considered due position security clearance requirement position requires site work portion work performed work performed client location hurlburt field fl successful candidate reside local area relocate within days start date job duties responsibilities include limited following conducts data analytics advanced data manipulation data mining exploratory analysis predictive analysis statistical analysis uses scientific techniques correlate data graphical written visual verbal narrative products enabling informed analytic decisionsenter analyze data within government systemsmaintain dashboards automate data analysis identifying interpreting presenting trends designed record potff related programmatic dataassist potff staff survey design create analyze report survey dataprovide consultation assistance supported units potff staff identify opportunities methods capturing data related potff programs initiativeswork consultation potff program staff government potff biostatisticianbe able use statistics modeling tools data visualization techniques provide accessible way see understand trends outliers patterns data produce reports presentations accurately convey data trends supporting mission required qualifications years detailed experience requiredadvanced proficiency suite microsoft office programs including word excel accessadvanced proficiency commonly used statistical software applications spss sas python r shinythree years research experience academic social services government healthcare laboratory setting preferred qualifications certification documented experience human performance preferredbe able read write speak english fluently clearly effectively communicate personnel interact withpossess excellent verbal written interpersonal communication presentation skills shall highly detail orientedpossess sufficient initiative interpersonal relationship skills social sensitivity relate constructively variety contacts diverse backgroundadvanced proficiency suite microsoft office programs including word excel accessadvanced proficiency may demonstrated employment history academia settings conducting research routine proficiency must demonstrated history scientific publicationsexperience working special operations athletics sports military settings preferredexperience systems code databases required education master doctoral degree quantitative science social science related discipline knowesis equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability veteran status
5,5,job position associate data scientist location remotereports chief analytics officerposition type full timecompensation travel required us netrush partners brands increase value points business consumer bringing data technology strategy infrastructure help thrive amazon ecommerce platforms headquarters vancouver washington several processing facilities across north america netrush provides integrated retail capabilities ranging logistics data science brand control creative services helping brands outsmart outspend competition job summary netrush looking associate data scientist join team role work closely brand management performance marketing business development teams support data driven decisions ecommerce includes tapping apis designing business intelligence reports building demand inventory forecasting models overall streamlining way use data generate actionable insights job duties responsibilities intellectually curious thrive challenging possible get rush solving complex problems data leader hacker maker driven create experience working large complex data using open source tools python r sql role opportunity analyze apply open source tools python r capture process analyze visualize proprietary public data new ways tell compelling meaningful stories drive business decisions report use structured queries sql business intelligence platforms power bi design custom reports surface critical ecommerce insights address critical business needs recommend influence understanding consumer marketplace behaviors particularly impact business marketing goals apply research solve real world problems collaborate team player mentality working closely across departmental disciplines including sales performance marketing logistics brand management partner closely key stakeholders throughout business understand fundamental concepts netrush makes clients successful innovate work directly chief analytics officer make existing data evaluate new tools build new processes strengthening netrush intellectual property skills qualifications years relevant experiencedeep experience following necessary successful python rsql business intelligence platforms e g power bi leveraging cloud data services e g snowflake redshift azure obsession solving problems data developing models designing experiments building efficient data processes creating reports communicate insights ability thrive fast paced deadline driven environment bachelor degree highly preferred required ambitious curious insatiable hunger great work curiosity drives ability learn adapt constantly shifting ecommerce landscape open collaborative bring strong positive collaborative spirit optimistic resilient afraid dig figure work around problems take care team passionate creativity take great pride work approach business challenges enthusiasm commitment getting right see data science way expressing creativity low ego wear hats need wearing mentality makes team successful able gracefully handle multiple projects fast paced environment compensation benefits competitive salary plus bonus structurehealth dental vision life insurance benefitspto paid holidays k retirement plan traditional roth optionudemy business subscriptionaccess employee storeopen collaborative work environment applicants must successfully pass background check prior first day employment netrush equal opportunity affirmative action employer cultivate work environment inclusive diverse allowing employees value every thought point view without regard race color religion sex national origin age disability veteran status qualified applicants considered employment
6,6,job job id location macdill afb fl us date posted category information technology subcategory data scientist schedule full time shift day job travel yes time minimum clearance required secret clearance level must able obtain ts sci potential remote work description saic seeking experienced results oriented mission driven data scientist looking talented innovative experienced individual support effort increase speed data delivery support national security objectives ideal candidate solid understanding executing data centric transformations high visibility program seeking results oriented self starter data scientist provide timely data management support working closely data scientists integrating tools data sources processes incorporating automation wherever possible well fault tolerance data integrity validation provide efficient effective access exploitation data seeking hire someone passion programming support data science help develop update maintain tools data discovery advanced analytics production databases leveraging variety disparate data sources visualizations dashboards subject specific data interest position recognized develop impact teams support expand knowledge skills across multiple programming languages software packages role requires driven individual stay current experiment state art data science ai ml technologies ability need understand support pathfinder mission mature data management policy initial efforts involve pursuing authoritative data sources setting data pipelines tools data analytic environment responsibilities works teams data stages data lifecycle derive actionable insighttranslate mission needs end end analytical approach achieve resultsuse data visualization software tools transform data easy understand insightsshare data insights data stakeholders help identify trends make decisionscreate use analytics tools develop insights find patterns within dataidentify correct data sets use projectsgather convert data standardized formats prepare analysisimplement processes clean validate data neededidentify relationships patterns data sets help make predictions support decisionsdetermine help resolve data analytics issuesadvise management customers advanced technical research studies applicationsmake recommendations acquisition appropriate tools support data science qualifications bachelors nine years experience masters seven years experience phd jd four years experience active dod secret clearance ability attain ts sci knowledge skills abilities ability identify opportunities ai integration develop deploy ai solutions experience using advana toolset databricks qlik gamechanger etc advana bonusexperience maven smart systems palantir foundry experience agile methodologies experience big data including processes exploratory data analysis information discovery machine learning advanced analytic algorithmsexperience working relational databases including writing complex queriesexperience creating data visualizations dashboards using aggregate data sourcesexperience programming languages python c r data analysis librariesexperience natural language processing nlp tools librariesexperience using cloud technology computing tools gather store process analyze data covid policy saic require covid vaccinations boosters customer site vaccination requirements must followed work performed customer site saic premier fortune technology integrator driving nation technology transformation robust portfolio offerings across defense space civilian intelligence markets includes secure high end solutions engineering digital artificial intelligence mission solutions using expertise understanding existing emerging technologies integrate best components portfolio partner ecosystem deliver innovative effective efficient solutions critical achieving customers missions approximately strong driven mission united purpose inspired opportunities saic equal opportunity employer fostering culture diversity equity inclusion core values important attract retain exceptional talent headquartered reston virginia saic annual revenues approximately billion information visit saic com ongoing news please visit newsroom
7,7,job overview fti hiring data scientist support naval safety command norfolk va member data science team working support development testing deployment series advanced predictive analytics models using big data sets help diagnose predict precursors naval mishaps safety hazards role collaborate within diverse program team comprised fti team members well active duty military government civilian employees choose fti products technologies exciting innovative many come significant investments via small business innovative research sbir culture truly empower customers feel confident organizations supported also joining team united common mission supporting u national defense federal government culture revolves around c core values commitment compassion charity every day strive show passion employees customers showing love neighbors community responsibilities support development portfolio predictive risk models estimate mishap risk individual navy communities leverage models identify areas operational optimization monitoring reduce risk mishaps work collaborative environment provide training qualified government personnel building maintaining refining portfolio predictive analytics models assist collection organization multiple data types including limited manning maintenance readiness operational tempo command climate incident reports apply data science inductive reasoning approaches analyze data find patterns safety mishaps allow senior leadership implement risk mitigation measures participate technical interchange meetings analytical update meetings program management reviews meetings required required education qualifications must able obtain u department defense secret clearance bachelor degree business analytics mathematics computer science related field years data science experience master degree business analytics mathematics computer science related fields years coding experience python r similar language excellent verbal written communication skills preferred master degree
8,8,job hi oscar hiring data scientist join product analytics team oscar first health insurance company built around full stack technology platform focus serving members started oscar create kind health insurance company would want one behaves like doctor family role oscar oscar software platform campaign builder tool providers payers partners use engage members customers data scientist product analytics play critical role developing data pipeline management reporting infrastructure oscar campaign builder clients additionally partner customer success function conduct outcomes analytics reporting based client needs interest campaign builder engagement automation platform enables scalable personalized interventions automates workflows drive growth manage risk optimize admin operations built non technical users risk bearing entities use tool build campaigns deliver interventions multiple touch points time drive behavior change solution key differentiator oscar clients excited bringing technology users nationwide report associate director data science hybrid role work part time new york city office part time work home remote potential base pay role per year also eligible employee benefits company equity grants annual performance bonuses applicants must currently authorized work united states full time basis oscar sponsor applicants role responsibilities help establish maintain strategic oscar modular solutions roadmap data teamwork key stakeholders strategize implement manage productization data science models related campaign builderassist evaluation financial impact campaigns external internal audiencesrequirements gathering data pipeline management reporting infrastructure build enhancement includes obtaining regular stakeholder end user inputhelp establish success metrics projects work business track communicate metrics dashboards metrics requirements bachelor degree years relevant work experience master degree quantitative field years relevant work experienceexperience working building data models using common tools like python sql experience product analyticsexperience managing projects partners across organization ability visualize process identify resolve bottlenecks bonus points knowledge previous work experience health care health economics health insurance authentic oscar health job opportunity learn safeguard recruitment fraud oscar equal opportunity employer means upholding discrimination free hiring practices means cultivate environment people authentic selves find belonging support mission change health care experience made whole unique backgrounds perspectives pay transparency final offer amounts within base pay set forth determined factors including relevant skills education experience full time employees eligible benefits including medical dental vision benefits paid holidays paid vacation sick time paid parental leave k plan participation life disability insurance paid wellness time reimbursements reasonable accommodation oscar applicants considered solely based qualifications without regard applicant disability need accommodation oscar applicant requires reasonable accommodations application process contact oscar benefits team accommodations hioscar com make need accommodation known protect health safety employees require employee conducting person work fully vaccinated covid start date unable vaccinated due medical protected religious reasons please reach benefits team accommodations hioscar com submit accommodations request note person work includes employees required work offices employees conducting sales work field employees conducting home person visits members
9,9,job vacancy data scientist join energy storage company based austin texas must able commute office week responsibilities build machine learning models forecast demand market prices participant behaviour build decision making agents act autonomously power marketsbring experimental mindset prototyping developing right model job requirements fluent python wider numerical ecosystem pandas numpy scikit learn etc passion time series forecasting desire apply within energy sector experience building algorithmic decision making tools e g mixed integer linear programming convex optimization python e g cvxpy pyomo cvxopt experience applying data science toolset time series problems least years work educational experience developing productionizing real time projects machine learning data scienceyou ba b sc degree computer science machine learning related technical field
